LID , TYPE , PLAND , LPI , ED , AREA_MN , GYRATE_MN , SHAPE_MN , PARA_MN , PAFRAC , ENN_MN , IJI , COHESION , AI , DIVISION , NP , PD , LSI
villarrica, Plantacion ,8.3332,1.6726,10.475,28.0357,183.2331,1.8727,372.5299,1.3692,298.7576,60.6282,97.7811,90.6564,0.9995,386,0.2972,33.2839
vilcun, Plantacion ,10.6779,1.6792,10.4074,44.7401,213.4394,1.8436,317.3478,1.3508,367.3615,60.0842,98.3124,92.8204,0.9994,338,0.2387,30.3512
victoria, Plantacion ,21.4373,4.4861,14.9867,82.6968,267.3606,1.8154,322.761,1.3026,276.9913,46.5256,98.994,94.8122,0.9966,327,0.2592,29.3665
tolten, Plantacion ,39.341,12.1498,31.1346,123.4357,243.0676,1.9998,390.7612,1.3823,154.5862,70.8359,99.68,94.0067,0.9734,557,0.3187,53.295
Temuco, Plantacion ,24.0024,17.9051,17.0744,63.3835,166.6022,1.6957,350.9163,1.3946,283.2069,56.404,99.517,94.7871,0.9677,176,0.3787,19.278
Schmidt, Plantacion ,12.1695,1.566,16.321,33.7839,200.3704,1.9853,307.3188,1.4653,288.7538,60.3086,97.7913,90.1338,0.9993,236,0.3602,30.2315
Sauces, Plantacion ,55.8322,47.8252,30.1082,156.7084,187.8282,1.7747,446.549,1.3446,152.2902,64.1921,99.8877,95.9644,0.7709,303,0.3563,30.2663
Saavedra, Plantacion ,7.6669,0.4465,16.9755,14.5778,172.4724,2.1172,356.3801,1.515,265.741,27.9972,94.4755,83.6273,0.9999,208,0.5259,30.8152
Renaico, Plantacion ,42.106,18.7109,22.7021,139.1108,232.0274,1.6888,515.2206,1.2641,190.276,82.9893,99.555,95.8006,0.9438,80,0.3027,15.7102
Puren, Plantacion ,40.713,10.9041,42.9154,55.2739,181.4962,1.8975,450.1213,1.4008,134.1303,65.0533,99.2618,92.043,0.9771,342,0.7366,37.3719
Pucon, Plantacion ,2.0334,0.4473,2.8898,22.3511,187.3678,1.8367,375.1871,1.3343,417.3538,66.4392,96.371,89.7544,1,113,0.091,18.0119
Pitrufquen, Plantacion ,15.6117,6.5601,19.2402,35.0975,200.211,1.9538,354.9354,1.4218,261.0293,59.744,98.6041,90.7303,0.9954,257,0.4448,30.2145
Perquenco, Plantacion ,10.0542,5.0539,12.6102,25.1911,182.909,1.8765,483.0214,1.402,301.8761,37.0275,97.9018,90.5631,0.9973,132,0.3991,19.0182
Padre de las casas, Plantacion ,9.2497,3.4997,9.5095,39.1386,169.6697,1.8134,461.0011,1.3665,353.5539,57.6806,98.4671,92.6744,0.998,95,0.2363,15.7985
Melipeuco, Plantacion ,4.3151,1.1162,4.1039,67.3758,345.0791,1.9819,258.2019,1.3892,320.2811,57.741,98.3435,93.1936,0.9998,71,0.064,16.5931
Lumaco, Plantacion ,65.2325,54.0047,39.0703,249.669,213.9294,1.8543,445.1859,1.3673,137.4169,60.4583,99.9239,95.4831,0.7068,290,0.2613,41.4654
Lonquimay, Plantacion ,0.7781,0.1859,0.7734,26.0815,155.1858,1.4877,326.657,1.2464,951.8258,53.3155,97.4451,93.0519,1,117,0.0298,13.6992
Lonco, Plantacion ,30.2538,5.7097,32.8081,57.2447,205.6219,1.9679,386.5279,1.4039,197.8137,61.7222,99.187,91.8751,0.9918,514,0.5285,47.3575
Lautaro, Plantacion ,22.3149,2.8016,18.6402,62.4586,227.0945,1.8135,341.2065,1.3161,244.0671,57.6893,98.7469,93.7803,0.9975,324,0.3573,30.411
Imperial, Plantacion ,22.8065,4.811,24.1297,37.5012,171.1046,1.7348,384.8821,1.3563,212.8152,43.9629,98.7652,92.0938,0.9961,444,0.6082,34.8978
Gorbea, Plantacion ,34.4583,8.6481,32.9715,73.828,227.3102,1.9762,368.1152,1.4236,166.9684,58.1646,99.2323,92.7888,0.9878,322,0.4667,37.9854
Galvarino, Plantacion ,45.0849,14.0715,31.8022,85.5123,194.112,1.7437,417.4504,1.3396,165.8909,41.6299,99.5246,94.715,0.9571,299,0.5272,29.09
Ercilla, Plantacion ,44.1727,10.045,25.1432,93.515,207.7404,1.7211,458.7719,1.2935,177.3042,51.6515,99.2853,95.7022,0.9759,235,0.4724,22.179
Curacautin, Plantacion ,5.9535,0.9763,6.5972,34.662,199.103,1.7998,327.1822,1.3532,372.7971,49.6722,98.0409,91.8168,0.9998,285,0.1718,28.0136
Curarrehue, Plantacion ,0.4417,0.0744,0.9519,10.3284,136.6371,1.7725,554.7189,1.3594,662.2728,38.2697,94.3264,84.758,1,50,0.0428,12.3553
Cunco, Plantacion ,12.4019,0.8921,12.2253,48.7035,226.1169,1.9288,316.0501,1.369,289.6827,63.282,98.126,92.7122,0.9996,481,0.2546,38.0862
Collipulli, Plantacion ,49.289,20.3187,23.2288,241.3065,286.0109,1.9547,336.796,1.3705,185.8597,54.7637,99.7618,96.4427,0.9319,267,0.2043,31.0478
Cholchol, Plantacion ,35.4286,14.3673,32.0215,58.8129,187.6782,1.7957,344.9136,1.3754,170.4792,61.2055,99.3747,93.2774,0.9746,258,0.6024,28.5097
Carahue, Plantacion ,37.2832,9.9324,33.6461,79.4411,227.289,2.0551,353.1215,1.4305,150.5443,69.2916,99.3207,93.2539,0.9857,627,0.4693,51.1149
Angol, Plantacion ,43.8444,26.5811,33.3696,138.0773,194.9149,1.7949,493.8508,1.3426,151.3611,56.051,99.8329,94.2517,0.9237,380,0.3175,44.8063
Corral, Plantacion ,20.4814,3.8815,32.6818,47.5494,205.1772,2.2854,478.7705,1.4591,105.2643,60.6232,98.7176,88.1574,0.9976,309,0.4307,48.6774
Futrono, Plantacion ,1.5899,0.535,1.98,25.3418,168.6284,1.7981,398.0892,1.3284,539.6443,68.3324,97.3573,90.8262,1,132,0.0627,18.5751
La Union, Plantacion ,19.4884,4.9503,24.2257,69.374,200.4807,2.1101,478.5961,1.4185,173.1311,64.8932,99.4878,90.7657,0.9949,598,0.2809,63.5965
Lago Ranco, Plantacion ,1.0594,0.397,1.5551,17.2657,152.2384,1.7591,378.3447,1.3855,578.9831,69.5571,96.0698,89.6117,1,107,0.0614,15.7561
Lanco, Plantacion ,28.5049,9.6137,33.2455,64.6077,231.5575,2.139,352.4353,1.4233,147.9862,55.9726,99.0882,91.3105,0.9893,234,0.4412,36.5146
Los Lagos, Plantacion ,18.1868,3.3243,20.7669,61.7738,230.4421,2.017,411.2813,1.3695,154.0678,55.9855,99.0633,91.5009,0.9982,527,0.2944,52.0258
Mafil , Plantacion ,25.9233,2.8607,37.1953,45.7872,182.7749,2.0338,506.6553,1.415,146.1995,40.4355,98.7835,89.3162,0.9966,327,0.5662,44.4559
Mariquina, Plantacion ,29.4934,7.033,39.6781,59.3628,192.4491,2.0862,456.9545,1.4342,156.1818,54.4843,99.3083,89.9188,0.9929,643,0.4968,66.5257
Rio Bueno, Plantacion ,1.8141,0.4826,2.4349,25.4299,171.5354,1.8799,479.8625,1.3513,564.4816,58.9354,97.7198,90.3628,1,155,0.0713,21.0501
Valdivia, Plantacion ,29.4847,13.4443,37.742,74.9106,206.9582,2.0943,434.8089,1.4144,153.4249,51.8751,99.6164,90.4877,0.9802,380,0.3936,54.392
Paillaco,Plantaciones,19.9391,4.0907,27.6965,47.1777,177.1276,1.9856,522.1116,1.3994,181.5618,56.7424,98.983,89.6604,0.9973,381,0.4226,47.094
Traiguen,Plantacion,38.0985,19.8909,27.4921,105.5594,231.8444,1.9511,446.0638,1.3508,154.7072,52.5284,99.6147,94.5561,0.9573,324,0.3609,34.502
Freire, Plantacion ,6.6818,1.732,9.6159,23.2033,189.8792,1.9008,351.2472,1.4091,402.7143,71.345,97.2107,89.393,0.9997,270,0.288,28.8617